№,Наименование предприятия,ОКВЭД,Вид деятельности,Отчетный период прошлого года (В натуральном выражении),Отчетный период прошлого года (В стоимостном выражении),Отчетный период текущего года (В натуральном выражении),Отчетный период текущего года (В стоимостном выражении),"Отношение периодов, %",Отчетный месяц прошлого года (В натуральном выражении),Отчетный месяц прошлого года (В стоимостном выражении),Отчетный месяц текущего года (В натуральном выражении),Отчетный месяц текущего года (В стоимостном выражении),"Отношение месяцев, %",Месяц,Год
59.0,Предприятие 59,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
60.0,Предприятие 60,Обрабатывающие производства,производство металлургическое,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,июнь,2020
,"Итого удельный вес, в %:",,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,июнь,2020
61.0,Предприятие 61,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
62.0,Предприятие 62,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
63.0,Предприятие 63,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
64.0,Предприятие 64,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
65.0,Предприятие 65,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,июнь,2020
66.0,Предприятие 66,Обрабатывающие производства,производство машин и оборудования для металлургии,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,июнь,2020
67.0,Предприятие 67,Обрабатывающие производства,производство машин и оборудования для металлургии,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,июнь,2020
68.0,Предприятие 68,Обрабатывающие производства,производство машин и оборудования для добычи полезных ископаемых и строительства,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
69.0,Предприятие 69,Обрабатывающие производства,"производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,июнь,2020
70.0,Предприятие 70,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
71.0,Предприятие 71,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
72.0,Предприятие 72,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
73.0,Предприятие 73,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
74.0,Предприятие 74,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,июнь,2020
75.0,Предприятие 75,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
76.0,Предприятие 76,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
77.0,Предприятие 77,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
78.0,Предприятие 78,Обрабатывающие производства,производство электрического оборудования,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
79.0,Предприятие 79,Обрабатывающие производства,производство электрического оборудования,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
80.0,Предприятие 80,Обрабатывающие производства,производство электрического оборудования,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
82.0,Предприятие 81,Обрабатывающие производства,производство электрического оборудования,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
83.0,Предприятие 83,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
84.0,Предприятие 84,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
85.0,Предприятие 85,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
86.0,Предприятие 86,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
87.0,Предприятие 87,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
88.0,Предприятие 88,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,июнь,2020
89.0,Предприятие 89,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
90.0,Предприятие 90,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
91.0,Предприятие 91,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,июнь,2020
92.0,Предприятие 92,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,июнь,2020
93.0,Предприятие 93,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,июнь,2020
94.0,Предприятие 94,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.70636550308011,июнь,2020
95.0,Предприятие 95,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.70636550308011,июнь,2020
96.0,Предприятие 96,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
97.0,Предприятие 97,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
98.0,Предприятие 98,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
99.0,Предприятие 99,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
100.0,Предприятие 100,Обрабатывающие производства,производство прочих транспортных средств и оборудования,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,июнь,2020
101.0,Предприятие 101,Обрабатывающие производства,производство прочих транспортных средств и оборудования,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,июнь,2020
102.0,Предприятие 102,Обрабатывающие производства,производство прочих транспортных средств и оборудования,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,июнь,2020
103.0,Предприятие 103,Обрабатывающие производства,производство мебели,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
104.0,Предприятие 104,Обрабатывающие производства,производство мебели,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
105.0,Предприятие 105,Обрабатывающие производства,ремонт и монтаж машин и оборудования ,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
106.0,Предприятие 106,Обрабатывающие производства,ремонт и монтаж машин и оборудования ,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
107.0,Предприятие 107,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
108.0,Предприятие 108,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
109.0,Предприятие 109,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,июнь,2020
110.0,Предприятие 110,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
111.0,Предприятие 111,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
112.0,Предприятие 112,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
113.0,Предприятие 113,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
114.0,Предприятие 114,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
115.0,Предприятие 115,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
116.0,Предприятие 116,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
117.0,Предприятие 117,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",98.0,35263.0,64.0,12546.0,65.3061224489796,55.0,55000.0,35.0,35000.0,63.63636363636363,июнь,2020
118.0,Предприятие 118,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",98.0,35263.0,64.0,12546.0,65.3061224489796,55.0,55000.0,35.0,35000.0,63.63636363636363,июнь,2020
119.0,Предприятие 119,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
120.0,Предприятие 120,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
121.0,Предприятие 121,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
122.0,Предприятие 122,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",30.0,300000.0,10.0,100000.0,33.33333333333333,50.0,50000.0,45.0,45000.0,90.0,июнь,2020
123.0,Предприятие 123,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",220.0,220000.0,20.0,200000.0,9.090909090909092,78.0,78000.0,65.0,65000.0,83.33333333333334,июнь,2020
124.0,Предприятие 124,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",15.0,135000.0,10.0,160000.0,66.66666666666666,69.0,69000.0,70.0,70000.0,101.44927536231884,июнь,2020
125.0,Предприятие 125,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",55.0,550000.0,28.0,238000.0,50.90909090909091,70.0,70000.0,80.0,80000.0,114.28571428571428,июнь,2020
126.0,Предприятие 126,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",40.0,400000.0,30.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,июнь,2020
127.0,Предприятие 127,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2020
128.0,Предприятие 128,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июнь,2020
129.0,Предприятие 129,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июнь,2020
130.0,Предприятие 130,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2020
1.0,Предприятие 1,Добыча полезных ископаемых,добыча металлических руд,980.0,100000.0,104.0,120000.0,10.612244897959183,85.0,75000.0,86.0,84000.0,101.17647058823529,июль,2020
2.0,Предприятие 2,Добыча полезных ископаемых,добыча металлических руд,890.0,110000.0,99.0,96000.0,11.123595505617976,26.0,56000.0,32.0,50000.0,123.07692307692308,июль,2020
3.0,Предприятие 3,Добыча полезных ископаемых,добыча металлических руд,410.0,410200.0,320.0,520000.0,78.04878048780488,80.0,80000.0,70.0,70000.0,87.5,июль,2020
4.0,Предприятие 4,Добыча полезных ископаемых,добыча металлических руд,320.0,430000.0,410.0,45000.0,128.125,77.0,77000.0,55.0,55000.0,71.42857142857143,июль,2020
5.0,Предприятие 5,Добыча полезных ископаемых,добыча металлических руд,261.0,500000.0,290.0,40000.0,111.11111111111113,56.0,65000.0,48.0,46000.0,85.71428571428571,июль,2020
,"Итого удельный вес, в % ",,,,,,,,,,,,,июль,2020
6.0,Предприятие 6,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,520.0,550000.0,330.0,330000.0,63.46153846153846,80.0,80000.0,70.0,70000.0,87.5,июль,2020
7.0,Предприятие 7,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,101.0,120000.0,100.0,100000.0,99.009900990099,55.0,55000.0,35.0,35000.0,63.63636363636363,июль,2020
8.0,Предприятие 8,Добыча полезных ископаемых,добыча прочих полезных ископаемых,96.0,100000.0,90.0,90000.0,93.75,68.0,77000.0,60.0,60000.0,88.23529411764706,июль,2020
9.0,Предприятие 9,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,320.0,330000.0,290.0,80000.0,90.625,125.0,78000.0,70.0,70000.0,56.00000000000001,июль,2020
10.0,Предприятие 10,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,102.0,150000.0,130.0,100000.0,127.45098039215685,88.0,88000.0,90.0,90000.0,102.27272727272728,июль,2020
11.0,Предприятие 11,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,550.0,550000.0,400.0,250000.0,72.72727272727273,125.0,135000.0,46.0,46000.0,36.8,июль,2020
12.0,Предприятие 12,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,июль,2020
13.0,Предприятие 13,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122447,июль,2020
,"Итого удельный вес, в %:",,,,,,,,,,,,,июль,2020
14.0,Предприятие 14,Обрабатывающие производства,производство текстильных изделий ,96.0,100000.0,112.0,150000.0,116.66666666666669,70.0,70000.0,90.0,90000.0,128.57142857142858,июль,2020
15.0,Предприятие 15,Обрабатывающие производства,производство одежды,311.0,300000.0,361.0,100000.0,116.07717041800645,50.0,50000.0,45.0,45000.0,90.0,июль,2020
16.0,Предприятие 16,Обрабатывающие производства,производство одежды,204.0,220000.0,200.0,200000.0,98.0392156862745,78.0,78000.0,65.0,65000.0,83.33333333333334,июль,2020
17.0,Предприятие 17,Обрабатывающие производства,производство одежды,126.0,135000.0,160.0,160000.0,126.98412698412695,69.0,69000.0,65.0,70000.0,94.20289855072464,июль,2020
18.0,Предприятие 18,Обрабатывающие производства,производство одежды,550.0,550000.0,600.0,238000.0,109.09090909090908,70.0,70000.0,98.0,80000.0,140.0,июль,2020
19.0,Предприятие 19,Обрабатывающие производства,производство одежды,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,июль,2020
20.0,Предприятие 20,Обрабатывающие производства,производство кожи и изделий из кожи,400.0,400000.0,420.0,420000.0,105.0,80.0,80000.0,70.0,70000.0,87.5,июль,2020
21.0,Предприятие 21,Обрабатывающие производства,производство кожи и изделий из кожи,550.0,550000.0,300.0,300000.0,54.54545454545454,56.0,56000.0,60.0,60000.0,107.14285714285714,июль,2020
22.0,Предприятие 22,Обрабатывающие производства,производство кожи и изделий из кожи,150.0,150000.0,250.0,250000.0,166.66666666666669,75.0,75000.0,88.0,88000.0,117.33333333333331,июль,2020
23.0,Предприятие 23,Обрабатывающие производства,производство изделий народных художественных промыслов ,100.0,100000.0,110.0,110000.0,110.0,56.0,56000.0,80.0,80000.0,142.85714285714286,июль,2020
24.0,Предприятие 24,Обрабатывающие производства,производство изделий народных художественных промыслов ,120.0,120726.0,90.0,90538.0,75.0,75.0,75000.0,70.0,70000.0,93.33333333333331,июль,2020
25.0,Предприятие 25,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,июль,2020
26.0,Предприятие 26,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,июль,2020
27.0,Предприятие 27,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,июль,2020
28.0,Предприятие 28,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,июль,2020
29.0,Предприятие 29,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,июль,2020
30.0,Предприятие 30,Обрабатывающие производства,производство бумаги и бумажных изделий,410.0,430000.0,420.0,96000.0,102.43902439024392,130.0,430000.0,89.0,96000.0,68.46153846153847,июль,2020
31.0,Предприятие 31,Обрабатывающие производства,производство бумаги и бумажных изделий,500.0,500000.0,520.0,121546.0,104.0,98.0,500000.0,61.0,121546.0,62.24489795918368,июль,2020
32.0,Предприятие 32,Обрабатывающие производства,"производство кокса, нефтепродуктов",1254.0,123450.0,695.0,789465.0,55.42264752791069,390.0,12450.0,324.0,12450.0,83.07692307692308,июль,2020
33.0,Предприятие 33,Обрабатывающие производства,"производство кокса, нефтепродуктов",245.0,245360.0,196.0,96130.0,80.0,480.0,45360.0,236.0,45360.0,49.16666666666666,июль,2020
34.0,Предприятие 34,Обрабатывающие производства,"производство кокса, нефтепродуктов",215.0,215453.0,176.0,176872.0,81.86046511627906,260.0,15453.0,213.0,15453.0,81.92307692307692,июль,2020
35.0,Предприятие 35,Обрабатывающие производства,"производство кокса, нефтепродуктов",2156.0,124875.0,2000.0,113521.0,92.76437847866418,460.0,24875.0,432.0,24875.0,93.91304347826087,июль,2020
36.0,Предприятие 36,Обрабатывающие производства,производство химических веществ и химических продуктов,320.0,330000.0,290.0,80000.0,90.625,125.0,78000.0,70.0,70000.0,56.00000000000001,июль,2020
37.0,Предприятие 37,Обрабатывающие производства,производство химических веществ и химических продуктов,102.0,150000.0,130.0,100000.0,127.45098039215685,88.0,88000.0,90.0,90000.0,102.27272727272728,июль,2020
38.0,Предприятие 38,Обрабатывающие производства,производство химических веществ и химических продуктов,550.0,550000.0,400.0,250000.0,72.72727272727273,125.0,135000.0,46.0,46000.0,36.8,июль,2020
39.0,Предприятие 39,Обрабатывающие производства,производство химических веществ и химических продуктов,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,июль,2020
40.0,Предприятие 40,Обрабатывающие производства,производство химических веществ и химических продуктов,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,июль,2020
41.0,Предприятие 41,Обрабатывающие производства,производство химических веществ и химических продуктов,550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,июль,2020
42.0,Предприятие 42,Обрабатывающие производства,производство химических веществ и химических продуктов,210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,июль,2020
43.0,Предприятие 43,Обрабатывающие производства,производство химических веществ и химических продуктов,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,июль,2020
44.0,Предприятие 44,Обрабатывающие производства,производство химических веществ и химических продуктов,350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,июль,2020
45.0,Предприятие 45,Обрабатывающие производства,производство химических веществ и химических продуктов,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,июль,2020
46.0,Предприятие 46,Обрабатывающие производства,производство химических веществ и химических продуктов,550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,июль,2020
47.0,Предприятие 47,Обрабатывающие производства,производство химических веществ и химических продуктов,210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,июль,2020
48.0,Предприятие 48,Обрабатывающие производства,производство химических веществ и химических продуктов,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,июль,2020
49.0,Предприятие 49,Обрабатывающие производства,производство химических веществ и химических продуктов,350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,июль,2020
50.0,Предприятие 50,Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,июль,2020
51.0,Предприятие 51,Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,июль,2020
52.0,Предприятие 52,Обрабатывающие производства,производство резиновых и пластмассовых изделий,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июль,2020
53.0,Предприятие 53,Обрабатывающие производства,производство резиновых и пластмассовых изделий,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июль,2020
54.0,Предприятие 54,Обрабатывающие производства,производство резиновых и пластмассовых изделий,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июль,2020
56.0,Предприятие 56,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июль,2020
57.0,Предприятие 57,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,июль,2020
58.0,Предприятие 58,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июль,2020
59.0,Предприятие 59,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,июль,2020
